h_1171,theta_1171,h_1170,theta_1170,h_1168,theta_1168,h_1133,theta_1133
41.2,0.418513783,41.85,0.511436355,41.65,0.379790637,37.7,0.47853686
41.25,0.418010389,41.95,0.510948708,41.8,0.379300268,37.7,0.478189983
41.35,0.417545718,42,0.510495894,41.9,0.378850764,37.75,0.477920189
41.4,0.417081047,42.05,0.51004308,41.95,0.378278667,37.85,0.477573312
41.5,0.416538931,42.15,0.509590265,42,0.377788298,37.9,0.477187892
41.5,0.416035537,42.15,0.509102619,42.1,0.377257065,37.9,0.476879556
41.55,0.415532143,42.2,0.508649805,42.2,0.376766696,38,0.476571221
41.55,0.41502875,42.25,0.508196991,42.3,0.376235463,37.9,0.476185801
41.7,0.414564079,42.35,0.507709344,42.35,0.375745095,37.9,0.475877466
41.7,0.414021962,42.45,0.50725653,42.45,0.375254726,38.15,0.475453504
41.8,0.413518569,42.45,0.506803716,42.45,0.374723493,38.15,0.475183711
41.85,0.413015175,42.5,0.506350902,42.5,0.374233124,38.25,0.474798291
41.9,0.412550504,42.55,0.505898087,42.6,0.373701891,38.3,0.474489955
42,0.411543716,42.6,0.505375609,42.7,0.373211522,38.4,0.474143078
42.05,0.411040323,42.7,0.504922795,42.8,0.37268029,38.45,0.4737962
42.1,0.410498206,42.7,0.504435149,42.9,0.372149057,38.45,0.473410781
42.15,0.410033535,42.8,0.504017166,42.95,0.371658688,38.6,0.473102445
42.3,0.409491419,42.85,0.50352952,43.05,0.371127455,38.6,0.47279411
42.3,0.409026748,42.9,0.503041874,43.1,0.370596222,38.65,0.472485774
42.35,0.408600799,42.9,0.50258906,43.25,0.370105853,38.4,0.472138896
42.45,0.407594012,43,0.502101413,43.25,0.36957462,38.7,0.471753477
42.55,0.407090618,43,0.501683431,43.3,0.369084252,38.75,0.471483683
42.65,0.40666467,43.1,0.501195785,43.35,0.368593883,38.85,0.471098264
42.65,0.406199999,43.05,0.50074297,43.35,0.36806265,38.9,0.470751386
42.7,0.405735327,43.1,0.500290156,43.45,0.367572281,38.9,0.470404509
42.7,0.405270656,43.2,0.499837342,43.5,0.367081912,39,0.470057631
42.85,0.404805985,43.2,0.499349696,43.6,0.366591544,39,0.469749296
42.9,0.404341314,43.3,0.498931713,43.6,0.366142039,39,0.469402418
42.95,0.403915366,43.35,0.498478899,43.65,0.365610806,39.05,0.46905554
43,0.403450694,43.4,0.498026084,43.75,0.365161301,39.1,0.468708663
43.05,0.402986023,43.4,0.497642934,43.75,0.364711797,39.1,0.468361785
43.1,0.402521352,43.45,0.497224951,43.75,0.364221428,39.25,0.467937824
43.15,0.402017959,43.5,0.496772137,43.75,0.363731059,39.3,0.467590946
43.2,0.401553287,43.5,0.496354155,43.8,0.363281554,39.15,0.467282611
43.35,0.401088616,43.55,0.49590134,43.9,0.362791185,38.7,0.467012817
43.35,0.400623945,43.55,0.49551819,43.95,0.362341681,39.2,0.466704481
43.35,0.400159274,43.6,0.495065375,44,0.361810448,39.25,0.46628052
43.5,0.39965588,43.6,0.494612561,44.05,0.361360943,39.35,0.465933642
43.5,0.399191209,43.65,0.494194579,44.1,0.360870574,39.35,0.465702391
43.6,0.398726538,43.7,0.493741764,44.2,0.360339341,39.35,0.465355513
43.7,0.39830059,43.8,0.49328895,44.25,0.359889837,39.4,0.465008636
43.75,0.397797196,43.8,0.492870968,44.3,0.359399468,39.45,0.4647003
43.8,0.397332525,43.85,0.492418153,44.3,0.358909099,39.5,0.46431488
43.8,0.396867854,43.9,0.491965339,44.35,0.35841873,39.55,0.464045087
43.9,0.39636446,43.9,0.491547357,44.45,0.357928361,39.55,0.463736751
43.95,0.395899789,43.8,0.491164206,44.45,0.357519721,39.6,0.463428416
44.05,0.395435118,43.95,0.49067656,44.55,0.356988488,39.6,0.46312008
44.1,0.395009169,44,0.490258577,44.6,0.356498119,39.65,0.462773202
44.15,0.394544498,44.05,0.489805763,44.6,0.35600775,39.6,0.462503409
44.2,0.394079827,44.1,0.489352949,44.6,0.355476517,39.7,0.462117989
44.25,0.393615156,44.2,0.488865303,44.75,0.355108741,39.75,0.461886738
44.35,0.393111762,44.2,0.488516984,44.75,0.354536644,39.75,0.461578402
44.4,0.392685814,44.2,0.488029338,44.85,0.354046275,39.75,0.461192982
44.45,0.392298588,44.3,0.487646187,44.95,0.353555906,39.75,0.460961731
44.5,0.391717749,44.4,0.487193373,44.95,0.353147266,39.8,0.460653395
44.55,0.391253078,44.4,0.48677539,44.95,0.352616033,39.85,0.46034506
44.65,0.390865852,44.4,0.48639224,44.95,0.352125664,39.85,0.460075266
44.7,0.390323735,44.45,0.485904594,45.05,0.351676159,39.9,0.45976693
