h_1277,theta_1277,h_1278,theta_1278,h_1279,theta_1279,h_1280,theta_1280,h_1281,theta_1281,h_1282,theta_1282,h_1283,theta_1283,h_1284,theta_1284
17.975,0.497713975,24.59,0.480239466,27.35,0.447880022,18.185,0.457943617,15.055,0.474300711,15.715,0.456895199,19.305,0.454395966,15.425,0.442210586
18.13,0.497485229,24.475,0.479899995,27.565,0.447579482,18.355,0.457593477,15.235,0.474066411,15.885,0.456620599,19.5,0.454125308,15.62,0.44205481
18.37,0.497332731,24.875,0.47967368,27.775,0.447391644,18.485,0.457437859,15.255,0.473871162,15.94,0.456385228,19.74,0.454009312,15.89,0.441860089
18.3,0.497027736,24.91,0.479522804,27.88,0.446715429,18.655,0.457165529,15.44,0.473597812,16.14,0.456071399,20.115,0.453661323,16.11,0.441626424
18.56,0.496760865,24.605,0.479145613,27.85,0.446490024,18.785,0.456854294,15.565,0.473441612,16.195,0.455953713,20.43,0.453506661,16.35,0.441470648
18.695,0.496532119,25.29,0.479070175,28.62,0.446452456,18.925,0.456659772,15.665,0.473168263,16.405,0.455639885,20.635,0.453274669,16.61,0.441236983
18.66,0.496227124,25.39,0.478692984,28.535,0.446227051,19.08,0.456348536,15.81,0.472855863,16.615,0.455443742,20.45,0.453042676,16.815,0.441120151
18.9,0.496188999,25.56,0.478579826,28.92,0.445588403,19.17,0.45611511,15.89,0.472621563,16.66,0.455247599,20.88,0.452849349,17.075,0.440886486
18.975,0.495922128,25.675,0.478391231,28.585,0.445513268,19.25,0.455920588,16.03,0.472387264,16.88,0.45493377,21.175,0.452617357,17.26,0.440730709
19.175,0.495655258,25.74,0.478051759,29.02,0.44532543,19.46,0.455648257,16.25,0.472113914,17.035,0.454776856,21.42,0.452346699,17.5,0.440535989
19.37,0.49550276,25.945,0.478051759,29.085,0.444912188,19.56,0.455337022,16.305,0.471918664,17.145,0.454463027,21.6,0.452192037,17.76,0.440302324
19.3,0.495159641,25.975,0.477636849,29.16,0.44457408,19.77,0.455181405,16.51,0.471723414,17.345,0.454266885,21.71,0.451921379,17.98,0.440107603
19.535,0.494969019,26.065,0.477410535,29.59,0.444235972,19.955,0.454870169,16.655,0.471450065,17.385,0.454149199,21.73,0.451612056,18.215,0.439951827
19.62,0.494664023,26.66,0.47718422,29.575,0.444085702,20.085,0.454675647,16.755,0.471215765,17.555,0.453796142,21.71,0.451534725,18.45,0.43979605
19.635,0.494473401,26.525,0.476920186,29.81,0.443747594,20.335,0.454481125,16.995,0.470981465,17.72,0.453599999,21.855,0.451264067,18.65,0.43960133
19.83,0.494320904,26.78,0.476731591,30.195,0.443597324,20.45,0.45416989,17.075,0.470786216,17.795,0.453364627,21.995,0.451032075,18.895,0.439445553
19.905,0.494015909,26.89,0.476580715,29.92,0.443371919,20.585,0.454053177,17.23,0.470512866,18.01,0.45301157,22.33,0.450877413,19.115,0.439211888
20.035,0.493787162,26.665,0.476241243,30.505,0.443259217,20.765,0.453780846,17.43,0.470200466,18.17,0.452893884,22.605,0.450645421,19.325,0.439056112
20.275,0.493634665,27.24,0.476128085,30.23,0.443033811,20.87,0.453469611,17.505,0.470005216,18.255,0.452619284,22.67,0.450490759,19.585,0.438861391
20.205,0.493291545,27.245,0.47593949,30.665,0.442695704,21.11,0.453275089,17.635,0.469731867,18.49,0.452305456,22.845,0.450181436,19.78,0.438666671
20.46,0.493139048,27.245,0.475562299,31.31,0.442132191,21.29,0.452963854,17.84,0.469536617,18.59,0.45218777,23.02,0.450026774,20.005,0.438588782
20.595,0.492910301,27.69,0.475373704,31.285,0.441981921,21.395,0.452769332,17.9,0.469341367,18.695,0.45191317,23.125,0.449794781,20.24,0.438277229
20.54,0.492605306,27.62,0.475147389,31.62,0.441606246,21.555,0.452613715,18.06,0.469068018,18.945,0.45163857,23.35,0.449485458,20.435,0.438160397
20.8,0.492414684,27.765,0.474883355,31.82,0.441455975,21.715,0.452341384,18.275,0.468794668,19.075,0.451442427,23.445,0.449292131,20.62,0.437965676
20.87,0.492224062,28.1,0.471601795,31.865,0.441305705,21.89,0.452146862,18.335,0.468677518,19.085,0.451167827,23.6,0.449021473,20.88,0.437732011
20.86,0.491919067,28.425,0.471262323,32.55,0.440516787,22.15,0.451835627,18.51,0.468326069,19.32,0.450893227,23.805,0.448866812,21.085,0.437576235
21.165,0.491766569,28.13,0.470922851,32.73,0.440141112,22.275,0.451563296,18.66,0.468130819,19.49,0.450618627,23.985,0.448596154,21.27,0.437381514
21.21,0.491537823,28.425,0.470658817,33.08,0.439953275,22.46,0.45132987,18.83,0.467818419,19.58,0.45026557,24.09,0.448402827,21.545,0.437186794
21.205,0.491270952,28.195,0.470281626,33.29,0.439615167,22.66,0.451135348,18.98,0.46734982,19.7,0.449951741,24.375,0.448093503,21.765,0.436992073
21.44,0.491118455,27.85,0.469979874,33.49,0.439239492,22.785,0.450901921,19.13,0.46707647,19.815,0.449637913,24.575,0.447861511,21.99,0.436797352
21.32,0.490813459,28.295,0.468810582,33.74,0.438788681,22.995,0.450668495,19.26,0.466764071,19.885,0.449245627,24.74,0.447552187,22.255,0.436563688
21.255,0.490432216,29.02,0.468659705,34.045,0.438563276,23.19,0.450396164,19.355,0.466334521,19.945,0.44889257,24.975,0.447165533,22.51,0.436330023
21.24,0.490165345,28.795,0.468282515,34.115,0.437999763,23.29,0.450240547,19.465,0.466100221,20.02,0.448774884,25.145,0.446894875,22.75,0.436057414
21.225,0.489822225,29.14,0.468018481,34.37,0.438074898,23.385,0.45000712,19.555,0.465748772,20.015,0.448382599,25.29,0.446662883,22.94,0.435823749
